datetime,open,high,low,close,volume,trade_count,vwap
2025-10-16 04:00:00+00:00,666.835,668.62,657.18,660.79,1654772.0,16840.0,662.465651
2025-10-17 04:00:00+00:00,659.53,665.74,658.18,664.3,1179391.0,14330.0,662.273699
2025-10-20 04:00:00+00:00,667.305,672.2,667.3,671.27,995461.0,14231.0,670.871943
2025-10-21 04:00:00+00:00,671.35,672.99,670.0,671.26,1009506.0,12589.0,671.889775
2025-10-22 04:00:00+00:00,671.68,671.8,663.39,667.82,1017536.0,12645.0,667.421244
2025-10-23 04:00:00+00:00,668.12,672.71,667.88,671.525,1075599.0,11650.0,671.107511
2025-10-24 04:00:00+00:00,676.425,678.47,675.68,677.1,1158020.0,13402.0,677.585895
2025-10-27 04:00:00+00:00,682.72,685.54,682.115,685.215,1414474.0,15890.0,684.030768
2025-10-28 04:00:00+00:00,687.04,688.905,684.865,686.97,1318898.0,13876.0,686.931884
2025-10-29 04:00:00+00:00,688.72,689.69,682.91,687.315,1820620.0,19188.0,687.385532
2025-10-30 04:00:00+00:00,683.68,685.935,679.885,680.1,1168362.0,14445.0,682.769922
2025-10-31 04:00:00+00:00,684.98,685.065,679.29,682.03,1444709.0,14264.0,682.717279
2025-11-03 05:00:00+00:00,685.67,685.77,679.97,683.37,968746.0,16872.0,682.989246
2025-11-04 05:00:00+00:00,676.08,679.95,674.59,675.31,1579563.0,23746.0,676.424862
2025-11-05 05:00:00+00:00,674.955,680.85,674.22,677.49,1164923.0,18077.0,678.821102
2025-11-06 05:00:00+00:00,676.535,677.35,668.77,670.24,1603634.0,24815.0,671.966432
2025-11-07 05:00:00+00:00,667.885,671.06,661.24,670.92,1894028.0,29323.0,666.097159
2025-11-10 05:00:00+00:00,677.24,682.17,675.14,681.31,1437682.0,22383.0,679.539933
2025-11-11 05:00:00+00:00,679.945,683.56,678.75,682.9,943641.0,16908.0,681.806442
2025-11-12 05:00:00+00:00,684.84,684.95,680.98,683.32,1286225.0,20025.0,683.189848
2025-11-13 05:00:00+00:00,680.495,680.85,670.54,672.07,1686978.0,22917.0,674.178919
2025-11-14 05:00:00+00:00,665.36,675.655,663.28,671.935,1363032.0,21108.0,671.669166
2025-11-17 05:00:00+00:00,669.655,673.68,662.2,665.72,1439197.0,23595.0,667.304225
2025-11-18 05:00:00+00:00,661.925,665.06,655.91,660.16,2245731.0,34179.0,661.416942
2025-11-19 05:00:00+00:00,660.78,667.34,658.77,662.68,1471719.0,23889.0,662.587872
2025-11-20 05:00:00+00:00,672.945,675.54,651.89,652.42,3199694.0,48037.0,660.816203
2025-11-21 05:00:00+00:00,654.72,664.52,650.86,659.15,1680117.0,19699.0,657.385101
2025-11-24 05:00:00+00:00,662.645,670.045,661.64,668.82,1284399.0,16946.0,667.645761
2025-11-25 05:00:00+00:00,668.625,676.19,664.52,675.0,895760.0,12771.0,671.397857
2025-11-26 05:00:00+00:00,677.625,681.69,676.81,679.64,780390.0,13256.0,680.038856
2025-11-28 05:00:00+00:00,680.88,683.645,680.555,683.36,698369.0,12246.0,682.291414
2025-12-01 05:00:00+00:00,678.825,682.99,678.74,680.255,1011551.0,13304.0,680.577541
2025-12-02 05:00:00+00:00,681.82,683.82,679.39,681.44,770220.0,14060.0,681.884817
2025-12-03 05:00:00+00:00,680.56,684.9,679.74,683.81,808176.0,13719.0,683.4437
2025-12-04 05:00:00+00:00,685.3,685.32,681.4,684.495,728020.0,11978.0,683.535196
2025-12-05 05:00:00+00:00,685.48,688.385,684.59,685.62,901415.0,12709.0,685.99568
2025-12-08 05:00:00+00:00,686.46,686.59,681.59,683.68,946326.0,17663.0,683.435332
2025-12-09 05:00:00+00:00,683.11,685.37,682.62,683.03,1073483.0,21470.0,683.742638
2025-12-10 05:00:00+00:00,682.525,688.96,681.32,687.59,1579236.0,27191.0,685.430912
2025-12-11 05:00:00+00:00,685.14,689.23,682.31,689.15,1239671.0,21472.0,687.058138
2025-12-12 05:00:00+00:00,688.185,688.865,679.18,681.8,1269024.0,22996.0,682.609609
2025-12-15 05:00:00+00:00,685.745,685.745,679.28,680.715,1203309.0,22639.0,681.280879
2025-12-16 05:00:00+00:00,679.09,681.04,675.01,678.86,1592313.0,29556.0,678.431573
2025-12-17 05:00:00+00:00,679.77,680.385,671.2,671.43,1053974.0,18742.0,673.811344
2025-12-18 05:00:00+00:00,677.59,680.7,674.91,676.515,1343555.0,28308.0,677.835245
2025-12-19 05:00:00+00:00,676.61,681.09,676.475,680.52,1591366.0,27721.0,680.126224
2025-12-22 05:00:00+00:00,683.925,685.3,682.715,684.71,1100367.0,16883.0,684.500901
2025-12-23 05:00:00+00:00,683.895,688.19,683.88,687.91,910769.0,15473.0,687.060804
2025-12-24 05:00:00+00:00,687.92,690.82,687.83,690.27,508573.0,8796.0,689.873397
2025-12-26 05:00:00+00:00,690.555,691.615,689.34,690.26,475363.0,6696.0,690.377343
2025-12-29 05:00:00+00:00,687.565,689.18,686.1,687.975,994838.0,16756.0,687.683155
2025-12-30 05:00:00+00:00,687.43,688.55,686.58,686.93,1056176.0,15164.0,687.510017
2025-12-31 05:00:00+00:00,687.145,687.35,681.72,681.82,1205920.0,18817.0,683.982106
2026-01-02 05:00:00+00:00,685.51,686.87,679.88,683.33,1049269.0,15751.0,683.15568
2026-01-05 05:00:00+00:00,686.51,689.43,686.385,687.73,1228667.0,18406.0,687.970632
2026-01-06 05:00:00+00:00,687.92,692.3,687.8,691.81,1513700.0,25281.0,690.81407
2026-01-07 05:00:00+00:00,692.185,693.95,689.35,689.64,1472466.0,22097.0,691.542984
2026-01-08 05:00:00+00:00,688.795,690.59,687.495,689.44,1531855.0,22302.0,689.316881
2026-01-09 05:00:00+00:00,690.6,695.295,689.21,694.005,1619127.0,23936.0,693.642228
2026-01-12 05:00:00+00:00,690.68,696.07,690.68,695.185,1379119.0,22633.0,694.536192
2026-01-13 05:00:00+00:00,695.44,696.08,691.4,693.71,1516329.0,22115.0,693.351376
2026-01-14 05:00:00+00:00,690.9,691.68,686.17,690.62,1623287.0,24543.0,688.607234
2026-01-15 05:00:00+00:00,694.6,695.44,691.28,692.18,1763355.0,31312.0,693.493849
2026-01-16 05:00:00+00:00,693.68,694.23,690.13,691.58,1267886.0,19543.0,692.323594
2026-01-20 05:00:00+00:00,681.52,684.74,676.58,677.66,1121802.0,18254.0,679.617988
2026-01-21 05:00:00+00:00,679.35,688.725,678.165,685.34,2214904.0,43988.0,683.623164
2026-01-22 05:00:00+00:00,689.85,691.08,686.94,688.96,979114.0,18279.0,689.345236
2026-01-23 05:00:00+00:00,688.1,690.955,687.18,689.2,1105712.0,18071.0,689.307021
2026-01-26 05:00:00+00:00,690.485,694.12,689.95,692.755,1235263.0,19176.0,693.009073
2026-01-27 05:00:00+00:00,694.15,696.515,693.58,695.53,1298406.0,20064.0,695.684681
2026-01-28 05:00:00+00:00,697.02,697.825,694.16,695.39,915857.0,15183.0,695.818064
2026-01-29 05:00:00+00:00,696.345,697.06,684.85,693.965,1448351.0,19606.0,690.88884
2026-01-30 05:00:00+00:00,691.84,694.17,687.17,691.8,1391309.0,19811.0,691.378873
2026-02-02 05:00:00+00:00,689.62,696.93,689.445,695.39,1805145.0,26454.0,695.350797
2026-02-03 05:00:00+00:00,696.225,696.945,684.035,689.435,1826631.0,26832.0,689.095383
2026-02-04 05:00:00+00:00,690.29,691.4,681.78,686.1,1834820.0,27151.0,686.553677
2026-02-05 05:00:00+00:00,680.78,683.64,675.81,677.44,1556860.0,21285.0,679.126892
2026-02-06 05:00:00+00:00,681.435,692.29,681.14,690.72,1801352.0,29206.0,688.3111
2026-02-09 05:00:00+00:00,689.47,695.855,688.39,694.0,1039359.0,18419.0,694.090494
2026-02-10 05:00:00+00:00,694.91,696.53,691.66,692.11,1087464.0,17112.0,693.708631
2026-02-11 05:00:00+00:00,696.435,697.08,689.22,691.81,1054954.0,17076.0,692.670327
2026-02-12 05:00:00+00:00,694.23,695.34,680.4,681.19,1558444.0,23369.0,685.314959
2026-02-13 05:00:00+00:00,681.695,686.26,677.53,681.61,1893959.0,30179.0,682.830701
2026-02-17 05:00:00+00:00,680.15,684.92,675.79,682.76,962881.0,14391.0,681.292521
2026-02-18 05:00:00+00:00,683.87,689.14,682.87,686.19,1657083.0,26552.0,686.634421
2026-02-19 05:00:00+00:00,683.85,686.135,681.59,684.505,1404841.0,24236.0,683.683337
2026-02-20 05:00:00+00:00,682.23,690.06,681.865,689.44,1325238.0,21995.0,687.551704
2026-02-23 05:00:00+00:00,687.805,690.0,680.385,682.39,1548756.0,23975.0,682.459307
2026-02-24 05:00:00+00:00,681.52,688.325,680.0,687.37,1287317.0,20653.0,686.406409
2026-02-25 05:00:00+00:00,690.14,693.66,690.14,693.1,711288.0,9789.0,692.456438
